"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Population ages 65 and above, female","SP.POP.65UP.FE.IN","803","849","894","932","973","1023","1071","1125","1184","1255","1329","1453","1574","1706","1835","1966","2019","2081","2149","2222","2314","2387","2472","2546","2595","2636","2645","2637","2636","2667","2739","2738","2786","2872","2981","3102","3241","3378","3533","3706","3898","4084","4287","4501","4698","4866","5111","5326","5527","5741","5998","6181","6403","6667","6953","7253","7573","",
"Afghanistan","AFG","Population ages 65 and above, female","SP.POP.65UP.FE.IN","115755","118796","121633","124177","126276","127873","131602","134886","137781","140403","142793","147424","151747","155616","158833","161311","165270","167909","168811","167522","163919","162574","158312","151727","143562","134186","134380","135073","136502","138764","141599","150504","162249","175749","189647","203208","211752","217954","223012","228433","235151","243460","253556","264722","275882","286458","298721","309597","320329","332768","348066","365817","386428","408602","430252","450185","471038","",
"Angola","AGO","Population ages 65 and above, female","SP.POP.65UP.FE.IN","81558","84122","86105","87600","88787","89749","91868","93802","95566","97113","98437","101285","104053","106767","109472","112187","116041","119921","123863","127923","132122","137290","142713","148173","153386","158241","163303","167570","171377","175154","179122","184465","190131","195812","201094","205788","211286","216126","220575","224959","229439","236163","243134","250249","257356","264382","272698","281259","289869","298193","306175","315043","323658","333137","345085","360450","379281","",
"Albania","ALB","Population ages 65 and above, female","SP.POP.65UP.FE.IN","47899","49229","50840","52571","54212","55608","56355","56942","57645","58586","59659","60951","62477","64076","65695","67333","68971","70647","72263","73856","75544","77452","79478","81564","83707","85882","88000","90181","92435","95875","99114","101332","104155","107382","110559","113330","114308","114467","114160","113932","114098","116366","120025","124071","128189","132089","137065","142016","147200","152861","159181","164749","170211","175444","180853","186754","191187","",
"Andorra","AND","Population ages 65 and above, female","SP.POP.65UP.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population ages 65 and above, female","SP.POP.65UP.FE.IN","1749772","1816132","1883087","1950234","2017105","2083417","2156280","2228433","2300387","2372691","2445862","2524043","2602735","2681911","2760990","2839896","2924097","3007171","3090482","3175759","3264326","3360042","3457932","3558530","3662121","3769485","3886137","4005744","4130820","4264415","4432189","4590706","4743489","4914512","5089191","5276268","5459159","5640831","5821791","6003234","6185845","6360684","6532627","6703619","6874385","7046023","7226871","7409397","7597821","7795665","8006106","8224473","8447374","8682261","8941965","9235923","9557561","",
"United Arab Emirates","ARE","Population ages 65 and above, female","SP.POP.65UP.FE.IN","1719","1766","1819","1868","1898","1889","1867","1826","1782","1755","1752","1727","1866","2199","2724","3426","3834","4325","4888","5478","6030","6359","6615","6867","7183","7587","7966","8369","8830","9341","9905","10204","10441","10626","10796","10956","11369","11914","12542","13172","13784","14095","14358","14696","15212","15962","16354","16963","17700","18497","19352","21113","23015","24997","27016","29114","31545","",
"Argentina","ARG","Population ages 65 and above, female","SP.POP.65UP.FE.IN","586510","612596","639792","668233","697999","729178","760169","792068","825289","860266","897291","934552","973124","1012894","1053431","1094362","1135996","1177066","1217899","1259122","1301295","1339558","1379874","1421873","1464602","1507703","1553499","1596704","1639041","1682909","1729226","1775993","1824692","1874146","1922246","1968117","2014842","2059310","2101712","2142472","2182009","2221578","2258045","2292995","2328519","2366095","2403423","2442476","2483741","2527448","2574232","2622530","2672138","2723917","2779080","2838429","2897135","",
"Armenia","ARM","Population ages 65 and above, female","SP.POP.65UP.FE.IN","66876","66464","66283","66437","67081","68333","70483","73252","76497","79956","83467","86952","90033","92938","95950","99164","102669","106339","109764","112324","113767","114454","114062","113226","112863","113532","114427","116134","118643","121968","126070","133393","141308","149296","156698","163296","167687","170960","173895","177693","182972","188458","195317","202203","206979","208435","207148","202853","196938","191505","187934","186190","186197","187518","189455","191632","194948","",
"American Samoa","ASM","Population ages 65 and above, female","SP.POP.65UP.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Population ages 65 and above, female","SP.POP.65UP.FE.IN","1621","1645","1663","1677","1694","1702","1739","1770","1797","1822","1852","1891","1923","1960","1995","2040","2118","2198","2278","2347","2392","2463","2514","2546","2570","2590","2638","2689","2749","2828","2947","3014","3108","3220","3339","3452","3442","3424","3389","3345","3278","3283","3274","3273","3298","3354","3409","3474","3546","3605","3644","3675","3685","3693","3725","3792","3896","",
"Australia","AUS","Population ages 65 and above, female","SP.POP.65UP.FE.IN","501390","514754","530562","543642","556603","569078","576904","578134","582005","588523","596035","624022","643393","661674","688471","708914","727304","749779","774259","797539","820206","846677","870769","890000","909968","935685","961334","989326","1020623","1052746","1082108","1112405","1140887","1165347","1189548","1214679","1238293","1258262","1276681","1296851","1319274","1341587","1363975","1388396","1413286","1441903","1465707","1477450","1512678","1555731","1599823","1646018","1705550","1770502","1833485","1894626","1954005","",
"Austria","AUT","Population ages 65 and above, female","SP.POP.65UP.FE.IN","524345","536627","549733","563238","576795","590089","603403","616397","627629","637751","648103","660541","673406","685755","695102","700887","710423","720844","728540","731594","730768","728492","719170","706018","697093","694708","698555","708319","721579","735433","747274","760589","770804","775831","775919","773564","772495","770435","768236","767272","767802","771578","776559","782426","791088","802472","815349","828871","843324","856778","868613","879491","890156","901357","913946","930062","947959","",
